"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5187","get started link","firefox","Wed Sep 24 18:23:51 IST 2025","passed","Wed Sep 24 18:23:57 IST 2025","","example.spec.ts","",""
"","7282","test","webkit","Wed Sep 24 18:24:25 IST 2025","passed","Wed Sep 24 18:24:32 IST 2025","","TS2.spec.ts","",""
"","13721","What to do if you are underweight","webkit","Wed Sep 24 18:24:25 IST 2025","passed","Wed Sep 24 18:24:38 IST 2025","test","resourcesValidation.test.ts","",""
"","10997","What to do if you are underweight","Mobile Chrome","Wed Sep 24 18:24:39 IST 2025","passed","Wed Sep 24 18:24:50 IST 2025","test","resourcesValidation.test.ts","",""
"","14657","What to do if you are underweight","Mobile Safari","Wed Sep 24 18:24:54 IST 2025","passed","Wed Sep 24 18:25:09 IST 2025","test","resourcesValidation.test.ts","",""
"","9050","CDC - BMI Information","Mobile Chrome","Wed Sep 24 18:24:38 IST 2025","passed","Wed Sep 24 18:24:48 IST 2025","test","resourcesValidation.test.ts","",""
"","2488","get started link","Mobile Safari","Wed Sep 24 18:24:49 IST 2025","passed","Wed Sep 24 18:24:51 IST 2025","","example.spec.ts","",""
"","7681","test","Mobile Chrome","Wed Sep 24 18:24:41 IST 2025","passed","Wed Sep 24 18:24:49 IST 2025","","TS2.spec.ts","",""
"","7832","test","chromium","Wed Sep 24 18:23:31 IST 2025","passed","Wed Sep 24 18:23:39 IST 2025","","TS2.spec.ts","",""
"","5537","test","Google Chrome","Wed Sep 24 18:25:19 IST 2025","passed","Wed Sep 24 18:25:24 IST 2025","","TS2.spec.ts","",""
"","30178","What to do if you are underweight","firefox","Wed Sep 24 18:24:01 IST 2025","broken","Wed Sep 24 18:24:31 IST 2025","test","resourcesValidation.test.ts","",""
"","3085","has title","chromium","Wed Sep 24 18:23:30 IST 2025","passed","Wed Sep 24 18:23:33 IST 2025","","example.spec.ts","",""
"","9041","WHO - Obsesity and Overweight Facts wellness","chromium","Wed Sep 24 18:23:31 IST 2025","passed","Wed Sep 24 18:23:40 IST 2025","test","resourcesValidation.test.ts","",""
"","3871","get started link","chromium","Wed Sep 24 18:23:31 IST 2025","passed","Wed Sep 24 18:23:35 IST 2025","","example.spec.ts","",""
"","11631","CDC - BMI Information","firefox","Wed Sep 24 18:23:59 IST 2025","passed","Wed Sep 24 18:24:11 IST 2025","test","resourcesValidation.test.ts","",""
"","15094","WHO - Obsesity and Overweight Facts wellness","Mobile Safari","Wed Sep 24 18:24:52 IST 2025","passed","Wed Sep 24 18:25:07 IST 2025","test","resourcesValidation.test.ts","",""
"","7390","test","Mobile Safari","Wed Sep 24 18:24:51 IST 2025","passed","Wed Sep 24 18:24:58 IST 2025","","TS2.spec.ts","",""
"","5317","CDC - BMI Information","Google Chrome","Wed Sep 24 18:25:15 IST 2025","passed","Wed Sep 24 18:25:20 IST 2025","test","resourcesValidation.test.ts","",""
"","4471","has title","webkit","Wed Sep 24 18:24:11 IST 2025","passed","Wed Sep 24 18:24:15 IST 2025","","example.spec.ts","",""
"","1748","has title","Microsoft Edge","Wed Sep 24 18:24:55 IST 2025","passed","Wed Sep 24 18:24:57 IST 2025","","example.spec.ts","",""
"","2269","has title","Google Chrome","Wed Sep 24 18:25:11 IST 2025","passed","Wed Sep 24 18:25:14 IST 2025","","example.spec.ts","",""
"","2626","has title","Mobile Chrome","Wed Sep 24 18:24:26 IST 2025","passed","Wed Sep 24 18:24:29 IST 2025","","example.spec.ts","",""
"","3069","get started link","webkit","Wed Sep 24 18:24:20 IST 2025","passed","Wed Sep 24 18:24:23 IST 2025","","example.spec.ts","",""
"","16258","WHO - Obsesity and Overweight Facts wellness","firefox","Wed Sep 24 18:23:56 IST 2025","passed","Wed Sep 24 18:24:12 IST 2025","test","resourcesValidation.test.ts","",""
"","7619","What to do if you are underweight","Google Chrome","Wed Sep 24 18:25:18 IST 2025","passed","Wed Sep 24 18:25:26 IST 2025","test","resourcesValidation.test.ts","",""
"","5608","WHO - Obsesity and Overweight Facts wellness","Google Chrome","Wed Sep 24 18:25:26 IST 2025","passed","Wed Sep 24 18:25:31 IST 2025","test","resourcesValidation.test.ts","",""
"","7933","WHO - Obsesity and Overweight Facts wellness","Microsoft Edge","Wed Sep 24 18:24:58 IST 2025","passed","Wed Sep 24 18:25:06 IST 2025","test","resourcesValidation.test.ts","",""
"","6723","CDC - BMI Information","Microsoft Edge","Wed Sep 24 18:25:03 IST 2025","passed","Wed Sep 24 18:25:10 IST 2025","test","resourcesValidation.test.ts","",""
"","9040","CDC - BMI Information","webkit","Wed Sep 24 18:24:26 IST 2025","passed","Wed Sep 24 18:24:35 IST 2025","test","resourcesValidation.test.ts","",""
"","7226","test","Microsoft Edge","Wed Sep 24 18:25:05 IST 2025","passed","Wed Sep 24 18:25:12 IST 2025","","TS2.spec.ts","",""
"","3917","get started link","Microsoft Edge","Wed Sep 24 18:25:00 IST 2025","passed","Wed Sep 24 18:25:04 IST 2025","","example.spec.ts","",""
"","7799","WHO - Obsesity and Overweight Facts wellness","Mobile Chrome","Wed Sep 24 18:24:35 IST 2025","passed","Wed Sep 24 18:24:43 IST 2025","test","resourcesValidation.test.ts","",""
"","2083","get started link","Google Chrome","Wed Sep 24 18:25:13 IST 2025","passed","Wed Sep 24 18:25:15 IST 2025","","example.spec.ts","",""
"","7883","What to do if you are underweight","Microsoft Edge","Wed Sep 24 18:25:09 IST 2025","passed","Wed Sep 24 18:25:17 IST 2025","test","resourcesValidation.test.ts","",""
"","2902","get started link","Mobile Chrome","Wed Sep 24 18:24:29 IST 2025","passed","Wed Sep 24 18:24:32 IST 2025","","example.spec.ts","",""
"","8830","CDC - BMI Information","Mobile Safari","Wed Sep 24 18:24:53 IST 2025","passed","Wed Sep 24 18:25:02 IST 2025","test","resourcesValidation.test.ts","",""
"","11411","What to do if you are underweight","chromium","Wed Sep 24 18:23:31 IST 2025","passed","Wed Sep 24 18:23:43 IST 2025","test","resourcesValidation.test.ts","",""
"","15539","test","firefox","Wed Sep 24 18:24:01 IST 2025","passed","Wed Sep 24 18:24:17 IST 2025","","TS2.spec.ts","",""
"","4024","has title","firefox","Wed Sep 24 18:23:50 IST 2025","passed","Wed Sep 24 18:23:54 IST 2025","","example.spec.ts","",""
"","2427","has title","Mobile Safari","Wed Sep 24 18:24:48 IST 2025","passed","Wed Sep 24 18:24:50 IST 2025","","example.spec.ts","",""
"","10986","WHO - Obsesity and Overweight Facts wellness","webkit","Wed Sep 24 18:24:16 IST 2025","passed","Wed Sep 24 18:24:27 IST 2025","test","resourcesValidation.test.ts","",""
"","8988","CDC - BMI Information","chromium","Wed Sep 24 18:23:31 IST 2025","passed","Wed Sep 24 18:23:40 IST 2025","test","resourcesValidation.test.ts","",""
